Rank,Company,Country,Sales,Profits,Assets,Market Value,ISO-ALPHA-3,ISO-ALPHA-2,IOC,FIFA,Latitude,Longitude,ISO-Name,Historical,WikiData_ID,WikiData_Latitude,WikiData_Longitude,WikiData_Label,WikiData_Description
519,Swiss Re ,Switzerland,46.29,0.4737,164.17,28.74,CHE,CH,SUI,SUI,46.818188,8.227512,1,0,Q39,46.8,8.23,Switzerland,federal state in Western Europe
520,Dollar Tree,United States,28.33,1.62,23.02,34.39,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
521,Suzuki Motor,Japan,33.51,1.58,33.17,17.22,JPN,JP,JPN,JPN,36.204824,138.252924,1,0,Q17,35.0,136.0,Japan,sovereign state in East Asia
522,Synchrony Financial,United States,14.1,2.69,107.85,11.72,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
523,Haleon,United Kingdom,13.5,1.33,41.88,39.79,GBR,GB,GBR,,55.378051,-3.435973,0,0,Q145,54.6,-2.0,United Kingdom,country in Western Europe
524,Bouygues,France,46.58,1.02,64.67,12.95,FRA,FR,FRA,FRA,46.227638,2.213749,1,0,Q142,47.0,2.0,France,country in Western Europe
524,Hermès International,France,12.19,3.54,18.63,229.4,FRA,FR,FRA,FRA,46.227638,2.213749,1,0,Q142,47.0,2.0,France,country in Western Europe
526,Coca-Cola Europacific Partners,United Kingdom,18.2,1.58,31.28,29.99,GBR,GB,GBR,,55.378051,-3.435973,0,0,Q145,54.6,-2.0,United Kingdom,country in Western Europe
527,Sinopharm Group,China,81.97,1.26,52.47,10.95,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
528,Raymond James Financial,United States,12.59,1.67,79.18,18.56,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
529,Ericsson,Sweden,26.85,1.66,33.33,18.11,SWE,SE,SWE,SWE,60.128161,18.643501,1,0,Q34,61.0,15.0,Sweden,sovereign state in northern Europe
530,Longi Green Energy Technology,China,20.13,2.3,20.94,36.39,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
531,Woolworths,Australia,43.07,1.19,22.9,32.08,AUS,AU,AUS,AUS,-25.274398,133.775136,1,0,Q408,-28.0,137.0,Australia,country in Oceania
