Rank,Company,Country,Sales,Profits,Assets,Market Value,ISO-ALPHA-3,ISO-ALPHA-2,IOC,FIFA,Latitude,Longitude,ISO-Name,Historical,WikiData_ID,WikiData_Latitude,WikiData_Longitude,WikiData_Label,WikiData_Description
688,Vedanta Limited,India,18.93,1.84,24.84,12.49,IND,IN,IND,IND,20.593684,78.96288,1,0,Q668,22.8,83.0,India,country in South Asia
689,Danske Bank,Denmark,16.94,-0.3847,552.96,17.22,DNK,DK,DEN,DEN,56.26392,9.501785,1,0,Q35,56.0,10.0,Denmark,country in northern Europe
690,Ally Financial,United States,13.24,1.38,196.16,7.62,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
690,Corning,United States,13.64,0.911,28.82,26.76,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
692,Genuine Parts,United States,22.57,1.24,16.91,24.41,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
693,Steel Dynamics,United States,21.58,3.4,14.22,16.85,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
694,Reinsurance Group of America,United States,16.57,0.938,86.4,9.75,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
695,Hong Kong Exchanges,Hong Kong,2.46,1.38,48.34,51.54,HKG,HK,HKG,HKG,22.396428,114.109497,1,0,Q8646,22.28,114.16,Hong Kong,special administrative region of China
696,Daqin Railway,China,11.26,1.73,29.77,17.04,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
697,Isbank,Turkey,17.01,1.81,86.78,5.46,TUR,TR,TUR,TUR,38.963745,35.243322,1,0,Q43,39.0,36.0,Turkey,sovereign state spanning in Europe and Asia
698,Verbund,Austria,10.87,1.8,21.05,30.13,AUT,AT,AUT,AUT,47.516231,14.550072,1,0,Q40,48.0,14.0,Austria,country in Europe
699,Bajaj Finserv ,India,10.24,0.7985,49.34,26.47,IND,IN,IND,IND,20.593684,78.96288,1,0,Q668,22.8,83.0,India,country in South Asia
700,Semiconductor Manufacturing International,China,7.27,1.82,43.81,21.15,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
701,Southwest Airlines,United States,24.83,0.658,35.55,17.65,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
702,Fortis (Canada),Canada,8.71,1.12,47.76,21.93,CAN,CA,CAN,CAN,56.130366,-106.346771,1,0,Q16,56.0,-109.0,Canada,sovereign state in North America
703,SK Innovation ,South Korea,61.8,0.5522999999999999,55.25,11.57,KOR,KR,KOR,KOR,35.907757,127.766922,0,0,Q884,36.0,128.0,South Korea,sovereign state in East Asia
704,Associated British Foods,United Kingdom,22.63,0.9101,23.15,18.88,GBR,GB,GBR,,55.378051,-3.435973,0,0,Q145,54.6,-2.0,United Kingdom,country in Western Europe
704,Jardine Matheson,Bermuda,37.72,0.354,89.15,14.25,BMU,BM,BER,BER,32.321384,-64.75737,1,0,Q23635,32.33,-64.75,Bermuda,British overseas territory in the North Atlantic Ocean
706,KeyCorp,United States,8.68,1.78,197.52,9.19,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
707,ZTE,China,17.97,1.25,26.77,14.3,CHN,CN,CHN,CHN,35.86166,104.195397,1,0,Q148,35.84,103.45,People's Republic of China,state in East Asia
708,Sekisui House,Japan,22.06,1.39,23.13,13.19,JPN,JP,JPN,JPN,36.204824,138.252924,1,0,Q17,35.0,136.0,Japan,sovereign state in East Asia
709,Omnicom Group,United States,14.32,1.37,25.24,17.91,USA,US,USA,USA,37.09024,-95.712891,0,0,Q30,39.83,-98.58,United States of America,sovereign state in North America
710,Grasim Industries,India,14.37,1.05,39.15,14.1,IND,IN,IND,IND,20.593684,78.96288,1,0,Q668,22.8,83.0,India,country in South Asia
